City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,13.67,75,87,5.34,AU,1702954050
1,pandan,14.0453,124.1694,27.63,83,100,6.58,PH,1702954050
2,nemuro,43.3236,145.575,-3.66,57,25,7.93,JP,1702954050
3,waitangi,-43.9535,-176.5597,12.73,71,60,3.25,NZ,1702954050
4,puerto ayora,-0.7393,-90.3518,24.75,93,55,0.89,EC,1702954050
5,flying fish cove,-10.4217,105.6791,28.82,61,33,3.6,CX,1702954050
6,isafjordur,66.0755,-23.124,-1.24,81,100,5.18,IS,1702954050
7,fort st. john,56.2499,-120.8529,-5.06,86,75,4.63,CA,1702954050
8,port-aux-francais,-49.35,70.2167,7.11,83,91,14.7,TF,1702954050
9,zemetchino,53.4973,42.6163,1.19,99,100,4.92,RU,1702953949
10,grytviken,-54.2811,-36.5092,1.79,77,25,1.17,GS,1702954050
11,edinburgh of the seven seas,-37.0676,-12.3116,14.95,80,59,9.13,SH,1702954050
12,east london,-33.0153,27.9116,18.77,85,20,2.06,ZA,1702953908
13,georgetown,5.4112,100.3354,31.08,73,20,5.14,MY,1702954050
14,ornskoldsvik,63.2909,18.7153,-0.47,100,100,1.54,SE,1702953949
15,puerto natales,-51.7236,-72.4875,8.51,82,96,1.95,CL,1702954046
16,port lincoln,-34.7333,135.8667,17.04,56,2,8.61,AU,1702954051
17,yellowknife,62.456,-114.3525,-23.58,77,20,3.6,CA,1702954051
18,esil,51.9556,66.4042,-9.56,96,100,3.02,KZ,1702953950
19,minas de marcona,-15.2119,-75.1103,16.3,87,81,4.97,PE,1702954051
20,stanley,54.868,-1.6985,8.62,86,40,4.12,GB,1702954051
21,margaret river,-33.95,115.0667,24.56,36,2,2.01,AU,1702954051
22,hamilton,39.1834,-84.5333,-0.78,70,100,8.23,US,1702953920
23,udachny,66.4167,112.4,-28.6,96,82,1.25,RU,1702954051
24,adamstown,-25.066,-130.1015,22.85,79,100,6.54,PN,1702954051
25,college,64.8569,-147.8028,-11.82,81,100,0.0,US,1702954051
26,la ronge,55.1001,-105.2842,-2.86,68,0,3.6,CA,1702954051
27,carnarvon,-24.8667,113.6333,25.21,69,16,5.32,AU,1702954051
28,ta`u,-14.2336,-169.5144,27.98,80,89,3.38,AS,1702954051
29,aracati,-4.5617,-37.7697,26.24,85,96,4.42,BR,1702953950
30,sao joao da barra,-21.6403,-41.0511,23.5,90,0,2.24,BR,1702953950
31,atafu village,-8.5421,-172.5159,29.45,75,90,3.21,TK,1702954052
32,mazamet,43.49,2.373,5.17,90,0,0.0,FR,1702953950
33,neijiang,29.5835,105.0622,7.72,53,7,1.73,CN,1702953746
34,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,83,40,4.02,RU,1702954052
35,iqaluit,63.7506,-68.5145,-29.59,85,8,2.96,CA,1702954052
36,arraial do cabo,-22.9661,-42.0278,21.98,94,20,2.06,BR,1702954052
37,puerto aysen,-45.4,-72.7,6.35,98,7,0.37,CL,1702954052
38,albany,42.6001,-73.9662,6.23,85,60,3.57,US,1702954052
39,kurchatov,51.6601,35.6521,2.23,100,100,3.07,RU,1702953950
40,papatowai,-46.5619,169.4708,19.03,53,99,2.8,NZ,1702954052
41,konarka,19.9,86.1167,18.22,48,13,4.98,IN,1702953950
42,akureyri,65.6835,-18.0878,-3.04,86,0,0.0,IS,1702954052
43,ghat,24.9647,10.1728,7.44,76,24,3.35,LY,1702953950
44,bikenibeu village,1.3673,173.1241,25.98,94,100,5.66,KI,1702953950
45,prince rupert,54.3161,-130.3201,5.83,94,100,6.69,CA,1702953725
46,amuntai,-2.4177,115.2494,32.43,56,67,1.44,ID,1702953950
47,sungailiat,-1.85,106.1333,29.06,70,87,2.3,ID,1702953952
48,tolanaro,-25.0319,46.9987,24.04,88,40,1.03,MG,1702953952
49,sur,22.5667,59.5289,21.06,58,6,2.85,OM,1702954052
50,west island,-12.1568,96.8225,28.99,65,18,4.12,CC,1702954053
51,shendi,16.6915,33.4341,21.65,61,0,3.99,SD,1702953952
52,west valley,46.5921,-120.6051,2.75,91,100,0.0,US,1702953799
53,colonia,50.9333,6.95,6.36,83,100,4.12,DE,1702953998
54,nova sintra,14.8667,-24.7167,21.25,69,11,5.37,CV,1702954053
55,chabahar,25.2919,60.643,20.18,66,0,3.24,IR,1702953952
56,borovskoy,53.8,64.15,-14.22,95,7,3.76,KZ,1702953952
57,keflavik,64.0049,-22.5624,1.24,75,75,9.77,IS,1702954053
58,bilibino,68.0546,166.4372,-32.79,98,100,0.44,RU,1702954053
59,hammerfest,70.6634,23.6821,-0.75,93,100,0.0,NO,1702954053
60,ushuaia,-54.8,-68.3,11.81,71,0,7.2,AR,1702954053
61,mildura,-34.2,142.15,24.48,46,65,9.98,AU,1702953952
62,bredasdorp,-34.5322,20.0403,14.04,75,0,1.61,ZA,1702954053
63,dolores,-36.3132,-57.6792,12.0,69,81,4.39,AR,1702953952
64,kani keli,-12.9536,45.1033,26.59,69,100,2.09,YT,1702953952
